protocol,product_type,image_count,confidence_threshold,distance_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_confidence,mean_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,apple,1561,0.75,46.826202,0.8654708520179372,0.9069767441860465,0.8468571428571429,0.875886524822695,1149,412,0.7360666239590007,0.26393337604099937,0.8439510464668274,5.660771369934082,0.9416884247171453,0.9535655058043118,0.9364820846905537,0.9449465899753492,0.3470873786407767
standard,banana,1388,0.75,46.826202,0.957492795389049,0.9394773039889959,0.9785100286532952,0.9585964912280702,1226,162,0.8832853025936599,0.11671469740634005,0.9096843004226685,5.657873630523682,0.9836867862969005,0.9849397590361446,0.9849397590361446,0.9849397590361446,0.24074074074074073
standard,bellpepper,769,0.75,46.826202,0.8556566970091027,0.9711815561959655,0.769406392694064,0.8585987261146497,639,130,0.8309492847854356,0.16905071521456436,0.8692771196365356,5.064141273498535,0.9154929577464789,1.0,0.8430232558139535,0.9148264984227129,0.43846153846153846
standard,bitter_gourd,123,0.75,46.826202,1.0,1.0,1.0,1.0,120,3,0.975609756097561,0.024390243902439025,0.9730810523033142,4.953649044036865,1.0,1.0,1.0,1.0,0.0
standard,carrot,214,0.75,46.826202,0.7757009345794392,0.7978723404255319,0.7211538461538461,0.7575757575757576,145,69,0.677570093457944,0.32242990654205606,0.8028497695922852,6.734682083129883,0.8482758620689655,0.8387096774193549,0.8125,0.8253968253968254,0.37681159420289856
standard,cucumber,257,0.75,46.826202,0.8832684824902723,0.9782608695652174,0.7627118644067796,0.8571428571428571,218,39,0.8482490272373541,0.1517509727626459,0.9064903855323792,9.17042350769043,0.9403669724770642,1.0,0.8631578947368421,0.9265536723163842,0.4358974358974359
standard,grape,107,0.75,46.826202,1.0,1.0,1.0,1.0,107,0,1.0,0.0,0.9553523659706116,10.993553161621094,1.0,1.0,1.0,1.0,
standard,grapes,96,0.75,46.826202,0.7708333333333334,0.7428571428571429,0.6666666666666666,0.7027027027027027,32,64,0.3333333333333333,0.6666666666666666,0.7034509778022766,4.434731960296631,0.875,1.0,0.3333333333333333,0.5,0.28125
standard,guava,543,0.75,46.826202,0.9318600368324125,0.979253112033195,0.8805970149253731,0.9273084479371316,452,91,0.8324125230202578,0.16758747697974216,0.8796051740646362,5.547332763671875,0.9823008849557522,1.0,0.9609756097560975,0.9800995024875622,0.31868131868131866
standard,jujube,66,0.75,46.826202,0.8939393939393939,0.8421052631578947,0.9696969696969697,0.9014084507042254,44,22,0.6666666666666666,0.3333333333333333,0.8124683499336243,4.638780117034912,0.9545454545454546,0.9285714285714286,1.0,0.9629629629629629,0.22727272727272727
standard,kaki,177,0.75,46.826202,1.0,1.0,1.0,1.0,177,0,1.0,0.0,0.9469467997550964,5.844708442687988,1.0,1.0,1.0,1.0,
standard,lime,457,0.75,46.826202,0.9452954048140044,1.0,0.8863636363636364,0.9397590361445783,373,84,0.8161925601750547,0.1838074398249453,0.8786965012550354,3.535255193710327,0.9705093833780161,1.0,0.9214285714285714,0.9591078066914498,0.16666666666666666
standard,mango,207,0.75,46.826202,0.855072463768116,0.8974358974358975,0.8536585365853658,0.875,128,79,0.6183574879227053,0.38164251207729466,0.7997275590896606,4.199805736541748,0.9296875,0.9649122807017544,0.8870967741935484,0.9243697478991597,0.26582278481012656
standard,orange,1285,0.75,46.826202,0.8490272373540856,0.9246935201401051,0.7776141384388807,0.8448,925,360,0.7198443579766537,0.2801556420233463,0.8198349475860596,4.974676609039307,0.9178378378378378,0.9603174603174603,0.8561320754716981,0.9052369077306733,0.3277777777777778
standard,papaya,108,0.75,46.826202,0.8981481481481481,1.0,0.8571428571428571,0.9230769230769231,101,7,0.9351851851851852,0.06481481481481481,0.957505464553833,6.773385047912598,0.9603960396039604,1.0,0.9428571428571428,0.9705882352941176,1.0
standard,peach,220,0.75,46.826202,0.9181818181818182,1.0,0.8512396694214877,0.9196428571428571,166,54,0.7545454545454545,0.24545454545454545,0.8329165577888489,4.779552459716797,1.0,1.0,1.0,1.0,0.3333333333333333
standard,pear,122,0.75,46.826202,1.0,1.0,1.0,1.0,122,0,1.0,0.0,0.9626330137252808,3.2993323802948,1.0,1.0,1.0,1.0,
standard,pomegranate,1511,0.75,46.826202,0.9642620780939775,0.9140893470790378,0.9016949152542373,0.9078498293515358,1390,121,0.9199205823957644,0.0800794176042356,0.936847448348999,5.587764739990234,0.9935251798561151,0.983402489626556,0.9793388429752066,0.9813664596273292,0.371900826446281
standard,potato,240,0.75,46.826202,0.7166666666666667,0.7062937062937062,0.7952755905511811,0.7481481481481481,157,83,0.6541666666666667,0.3458333333333333,0.8194893002510071,5.124001979827881,0.7643312101910829,0.7884615384615384,0.845360824742268,0.8159203980099502,0.37349397590361444
standard,strawberry,337,0.75,46.826202,0.7833827893175074,0.7142857142857143,0.9202453987730062,0.8042895442359249,189,148,0.5608308605341247,0.4391691394658754,0.7833328247070312,5.176384925842285,0.91005291005291,0.9126984126984127,0.9504132231404959,0.9311740890688259,0.3783783783783784
standard,tomato,889,0.75,46.826202,0.8773903262092239,0.9373493975903614,0.8241525423728814,0.8771138669673055,589,300,0.6625421822272216,0.3374578177727784,0.8247281908988953,6.519241809844971,0.9592529711375212,0.9966442953020134,0.928125,0.9611650485436893,0.2833333333333333
standard,watermelon,48,0.75,46.826202,1.0,1.0,1.0,1.0,20,28,0.4166666666666667,0.5833333333333334,0.6971125602722168,5.007888317108154,1.0,1.0,1.0,1.0,0.0
unseen,apple,7731,0.77,49.956474,0.7662656836114344,0.7547717842323651,0.8533896317147549,0.8010569195199824,5339,2392,0.6905963006079421,0.309403699392058,0.8414195775985718,5.044753551483154,0.8527814197415247,0.828116419549698,0.9496221662468514,0.8847169257846876,0.42683946488294316
unseen,banana,7118,0.77,49.956474,0.6205394773812869,0.5772121626238469,0.9373092926490985,0.7144518448038905,5843,1275,0.8208766507445912,0.17912334925540882,0.9019372463226318,5.6751604080200195,0.6467568030121513,0.6221966647498562,0.97214734950584,0.758765778401122,0.4996078431372549
unseen,tomato,4409,0.77,49.956474,0.5838058516670447,0.5913684785577711,0.8646166134185304,0.7023519870235199,2747,1662,0.623043774098435,0.37695622590156497,0.8095639944076538,5.768566131591797,0.7178740444120859,0.7207243460764587,0.9567307692307693,0.8221253155841175,0.6377858002406739
